Date	Close	High	Low	Open	Volume
	ZS	ZS	ZS	ZS	ZS
2022-11-03	131.07	135.60	129.37	135.38	3009800
2022-11-04	121.00	132.64	117.41	132.00	4324200
2022-11-07	117.36	122.62	115.61	121.59	3390600
2022-11-08	119.93	123.19	114.77	119.71	2239500
2022-11-09	116.25	118.52	114.21	117.55	2388200
2022-11-10	133.12	133.31	125.60	126.60	3476900
2022-11-11	142.19	143.38	132.14	134.79	2900100
2022-11-14	136.85	141.94	132.50	140.49	2066400
2022-11-15	147.26	151.73	143.42	143.75	3075400
2022-11-16	140.35	146.14	139.38	144.66	1545200
2022-11-17	136.75	139.47	133.63	134.63	1751500
2022-11-18	138.73	142.99	137.02	142.99	1736500
2022-11-21	135.92	139.40	134.90	136.88	1242000
2022-11-22	136.76	137.33	131.60	134.68	1203000
2022-11-23	140.08	141.10	133.79	137.40	1349400
2022-11-25	138.75	139.46	136.36	138.43	603300
2022-11-28	136.72	139.39	135.42	137.62	1515000
2022-11-29	134.85	137.56	133.61	136.65	1906300
2022-11-30	133.45	133.53	122.13	126.99	5204100
2022-12-01	144.50	144.87	134.51	135.64	7077700
2022-12-02	128.99	132.62	126.40	127.29	9665100
2022-12-05	120.79	130.98	119.00	128.69	4946600
2022-12-06	115.97	121.96	115.35	121.50	3230700
2022-12-07	114.24	117.00	111.47	115.97	3162600
2022-12-08	119.53	119.61	112.22	114.31	2577300
2022-12-09	117.21	120.38	116.80	118.28	1678800
2022-12-12	121.24	122.25	117.62	117.62	1957000
2022-12-13	123.76	129.87	120.85	128.42	2602300
2022-12-14	123.14	126.91	121.39	123.29	1959300
2022-12-15	117.17	124.48	117.12	120.00	2578400
2022-12-16	114.21	117.16	112.55	115.51	3000200
2022-12-19	112.27	113.96	110.46	113.41	2202900
2022-12-20	113.54	113.97	109.40	110.82	1692700
2022-12-21	112.77	114.47	108.59	112.90	2337300
2022-12-22	109.36	110.95	107.11	110.00	1859400
2022-12-23	108.78	109.11	106.24	108.05	1467700
2022-12-27	107.57	109.34	105.90	107.34	1689200
2022-12-28	107.86	109.83	105.74	107.85	1749200
2022-12-29	111.87	112.81	108.00	109.35	1773600
2022-12-30	111.90	112.19	109.40	109.83	1556400
2023-01-03	110.19	116.67	108.18	114.72	2510900
2023-01-04	111.59	114.08	108.93	111.93	1617000
2023-01-05	104.39	109.96	104.00	109.42	3931100
2023-01-06	103.96	105.36	100.96	105.22	2613100
2023-01-09	104.75	109.69	104.50	106.11	2961300
2023-01-10	104.97	105.58	101.10	102.47	2912500
2023-01-11	108.05	108.30	103.40	105.56	2376800
2023-01-12	104.66	105.08	99.64	103.73	5220700
2023-01-13	107.30	107.59	102.61	102.61	3053700
2023-01-17	113.51	115.01	104.34	105.19	4049800
2023-01-18	113.03	118.89	112.64	115.41	3122800
2023-01-19	110.37	112.99	108.70	111.21	1896900
2023-01-20	117.12	117.26	110.40	111.25	2579400
2023-01-23	123.76	124.44	117.28	117.71	2922900
2023-01-24	122.65	126.43	121.80	122.02	1382500
2023-01-25	119.91	120.12	114.37	119.66	2570200
2023-01-26	125.19	125.28	120.64	122.91	2301100
2023-01-27	127.52	128.93	123.07	123.87	2962800
2023-01-30	122.60	126.07	122.40	125.13	2607900
2023-01-31	124.16	124.92	121.47	122.73	2087800
2023-02-01	131.52	131.91	123.91	125.05	2453400
2023-02-02	141.35	142.41	135.85	136.21	3471700
2023-02-03	134.99	138.81	133.14	135.80	3066900
2023-02-06	133.05	137.10	132.39	133.11	2014400
2023-02-07	138.06	138.50	130.36	132.81	1935800
2023-02-08	137.63	143.63	137.46	142.57	1695100
2023-02-09	139.06	143.35	139.01	140.10	2238400
2023-02-10	133.87	137.41	131.93	136.56	1862000
2023-02-13	133.87	135.41	131.07	134.67	1349600
2023-02-14	136.19	138.50	131.07	132.23	1563300
2023-02-15	142.77	143.02	136.25	136.57	1770200
2023-02-16	132.93	138.51	132.90	138.10	3620400
2023-02-17	132.35	132.50	127.90	132.04	2066200
2023-02-21	127.84	131.35	127.34	130.21	1502200
2023-02-22	132.16	133.45	129.60	131.10	1886000
2023-02-23	133.50	134.43	130.71	134.00	1437000
2023-02-24	130.88	132.49	129.56	130.08	1659300
2023-02-27	131.84	135.16	131.48	133.12	1294700
2023-02-28	131.15	133.16	130.00	131.16	2240300
