Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.20483022894e+002
+1.01800975118e+003,-1.20571082295e+002
+1.03634385350e+003,-1.20626036400e+002
+1.05500814844e+003,-1.20712928390e+002
+1.07400858268e+003,-1.19769199847e+002
+1.09335121002e+003,-1.13630089244e+002
+1.11304219327e+003,-1.13716050893e+002
+1.13308780622e+003,-1.06048596022e+002
+1.15349443568e+003,-1.04056029208e+002
+1.17426858345e+003,-1.04108501315e+002
+1.19541686846e+003,-1.06305105771e+002
+1.21694602882e+003,-1.13695369195e+002
+1.23886292399e+003,-1.13745381227e+002
+1.26117453700e+003,-1.22094031966e+002
+1.28388797661e+003,-1.21488110787e+002
+1.30701047961e+003,-1.22160260579e+002
+1.33054941314e+003,-1.18896214985e+002
+1.35451227700e+003,-1.18917283614e+002
+1.37890670608e+003,-1.12378210716e+002
+1.40374047276e+003,-1.10813869063e+002
+1.42902148939e+003,-1.12960123929e+002
+1.45475781085e+003,-1.20564593754e+002
+1.48095763705e+003,-1.22864358490e+002
+1.50762931560e+003,-1.23016923859e+002
+1.53478134445e+003,-1.23047965820e+002
+1.56242237458e+003,-1.22632302116e+002
+1.59056121278e+003,-1.15924878829e+002
+1.61920682446e+003,-1.10376747698e+002
+1.64836833648e+003,-1.09944313441e+002
+1.67805504007e+003,-1.13924900044e+002
+1.70827639381e+003,-1.22173588217e+002
+1.73904202661e+003,-1.23255324033e+002
+1.77036174080e+003,-1.24303567925e+002
+1.80224551525e+003,-1.18547064776e+002
+1.83470350855e+003,-1.11251115083e+002
+1.86774606222e+003,-1.11123332454e+002
+1.90138370407e+003,-1.16016667608e+002
+1.93562715148e+003,-1.25669104131e+002
+1.97048731486e+003,-1.25527418995e+002
+2.00597530110e+003,-1.25163920724e+002
+2.04210241715e+003,-1.20276806611e+002
+2.07888017356e+003,-1.13477792986e+002
+2.11632028822e+003,-1.14367382913e+002
+2.15443469003e+003,-1.20492669545e+002
+2.19323552273e+003,-1.26340219400e+002
+2.23273514878e+003,-1.28088064437e+002
+2.27294615326e+003,-1.27339314717e+002
+2.31388134792e+003,-1.21592906684e+002
+2.35555377526e+003,-1.21624866135e+002
+2.39797671264e+003,-1.27538040278e+002
+2.44116367658e+003,-1.27942031362e+002
+2.48512842698e+003,-1.27693265558e+002
+2.52988497160e+003,-1.21771462702e+002
+2.57544757045e+003,-1.21428422889e+002
+2.62183074038e+003,-1.26662724590e+002
+2.66904925965e+003,-1.28262610872e+002
+2.71711817270e+003,-1.28613186035e+002
+2.76605279492e+003,-1.21978601610e+002
+2.81586871751e+003,-1.19762251411e+002
+2.86658181246e+003,-1.29425272022e+002
+2.91820823764e+003,-1.29165341909e+002
+2.97076444190e+003,-1.27633510117e+002
+3.02426717031e+003,-1.21346656729e+002
+3.07873346955e+003,-1.26659526162e+002
+3.13418069329e+003,-1.29921397411e+002
+3.19062650773e+003,-1.29097325415e+002
+3.24808889724e+003,-1.23343747566e+002
+3.30658617009e+003,-1.26168163022e+002
+3.36613696427e+003,-1.29015088858e+002
+3.42676025343e+003,-1.28900066811e+002
+3.48847535295e+003,-1.27182898202e+002
+3.55130192606e+003,-1.29826375245e+002
+3.61525999011e+003,-1.30429928595e+002
+3.68036992298e+003,-1.25398371385e+002
+3.74665246955e+003,-1.22012063232e+002
+3.81412874828e+003,-1.29678994938e+002
+3.88282025801e+003,-1.29843736541e+002
+3.95274888473e+003,-1.25139583878e+002
+4.02393690862e+003,-1.29790467102e+002
+4.09640701111e+003,-1.30484115780e+002
+4.17018228212e+003,-1.30429133110e+002
+4.24528622739e+003,-1.30573691749e+002
+4.32174277604e+003,-1.32235089463e+002
+4.39957628810e+003,-1.30278453504e+002
+4.47881156235e+003,-1.32229634934e+002
+4.55947384417e+003,-1.31714763050e+002
+4.64158883361e+003,-1.26550075722e+002
+4.72518269359e+003,-1.31024473595e+002
+4.81028205818e+003,-1.31125044672e+002
+4.89691404115e+003,-1.28304419126e+002
+4.98510624459e+003,-1.32011618066e+002
+5.07488676766e+003,-1.32241006561e+002
+5.16628421561e+003,-1.31395455232e+002
+5.25932770886e+003,-1.33023182392e+002
+5.35404689227e+003,-1.33406648010e+002
+5.45047194461e+003,-1.34029364706e+002
+5.54863358815e+003,-1.31423419590e+002
+5.64856309846e+003,-1.31639728750e+002
+5.75029231439e+003,-1.33754993823e+002
+5.85385364818e+003,-1.32601965531e+002
+5.95928009583e+003,-1.33942071980e+002
+6.06660524757e+003,-1.31402009734e+002
+6.17586329859e+003,-1.34042718159e+002
+6.28708905992e+003,-1.30601961488e+002
+6.40031796953e+003,-1.33359539733e+002
+6.51558610364e+003,-1.30414153393e+002
+6.63293018816e+003,-1.32845803552e+002
+6.75238761044e+003,-1.32902236557e+002
+6.87399643118e+003,-1.33916077321e+002
+6.99779539652e+003,-1.31852607756e+002
+7.12382395042e+003,-1.34834734381e+002
+7.25212224722e+003,-1.31455661631e+002
+7.38273116442e+003,-1.33009475398e+002
+7.51569231572e+003,-1.33293696191e+002
+7.65104806427e+003,-1.34279739865e+002
