Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+002,-9.43964913640e+001
+1.01800975118e+002,-9.46176498022e+001
+1.03634385350e+002,-9.84864863118e+001
+1.05500814844e+002,-9.87133421744e+001
+1.07400858268e+002,-1.08798594035e+002
+1.09335121002e+002,-1.09029753643e+002
+1.11304219327e+002,-1.14784049192e+002
+1.13308780622e+002,-1.15087026747e+002
+1.15349443568e+002,-9.89236144985e+001
+1.17426858345e+002,-9.92800587985e+001
+1.19541686846e+002,-9.58718875136e+001
+1.21694602882e+002,-9.62249501819e+001
+1.23886292399e+002,-1.06138070882e+002
+1.26117453700e+002,-1.04482362841e+002
+1.28388797661e+002,-1.04850797252e+002
+1.30701047961e+002,-1.03438015394e+002
+1.33054941314e+002,-1.15298032761e+002
+1.35451227700e+002,-1.15661960679e+002
+1.37890670608e+002,-1.03465061043e+002
+1.40374047276e+002,-9.31238330526e+001
+1.42902148939e+002,-9.34786293522e+001
+1.45475781085e+002,-9.03986384835e+001
+1.48095763705e+002,-9.38846805088e+001
+1.50762931560e+002,-9.42325939641e+001
+1.53478134445e+002,-1.05260006793e+002
+1.56242237458e+002,-1.03692717073e+002
+1.59056121278e+002,-9.89335917323e+001
+1.61920682446e+002,-9.92878710038e+001
+1.64836833648e+002,-9.98765990485e+001
+1.67805504007e+002,-9.80555137196e+001
+1.70827639381e+002,-1.02037554205e+002
+1.73904202661e+002,-7.41967639749e+001
+1.77036174080e+002,-7.45426707018e+001
+1.80224551525e+002,-7.06230037805e+001
+1.83470350855e+002,-6.65578486688e+001
+1.86774606222e+002,-6.49462528151e+001
+1.90138370407e+002,-7.30772954361e+001
+1.93562715148e+002,-1.14352649246e+002
+1.97048731486e+002,-1.08175891080e+002
+2.00597530110e+002,-1.06822252943e+002
+2.04210241715e+002,-1.08839967005e+002
+2.07888017356e+002,-1.02080816988e+002
+2.11632028822e+002,-1.01622012224e+002
+2.15443469003e+002,-9.63830730715e+001
+2.19323552273e+002,-9.41188981321e+001
+2.23273514878e+002,-9.61432654643e+001
+2.27294615326e+002,-1.03694403872e+002
+2.31388134792e+002,-1.19901301405e+002
+2.35555377526e+002,-1.05333249857e+002
+2.39797671264e+002,-9.95086556589e+001
+2.44116367658e+002,-1.00942739048e+002
+2.48512842698e+002,-1.17039686561e+002
+2.52988497160e+002,-1.11007421890e+002
+2.57544757045e+002,-1.08465640074e+002
+2.62183074038e+002,-1.12170862240e+002
+2.66904925965e+002,-1.13009952524e+002
+2.71711817270e+002,-1.10062571338e+002
+2.76605279492e+002,-1.14522363099e+002
+2.81586871751e+002,-1.14910883175e+002
+2.86658181246e+002,-1.14533421830e+002
+2.91820823764e+002,-1.16921306956e+002
+2.97076444190e+002,-1.18915752112e+002
+3.02426717031e+002,-1.16921830926e+002
+3.07873346955e+002,-1.14606874345e+002
+3.13418069329e+002,-1.10825819720e+002
+3.19062650773e+002,-1.10543567764e+002
+3.24808889724e+002,-1.05965559004e+002
+3.30658617009e+002,-1.04333469414e+002
+3.36613696427e+002,-1.20045238387e+002
+3.42676025343e+002,-1.08183531388e+002
+3.48847535295e+002,-1.06944068597e+002
+3.55130192606e+002,-8.89924586337e+001
+3.61525999011e+002,-7.97888546844e+001
+3.68036992298e+002,-8.06096005146e+001
+3.74665246955e+002,-8.93989535277e+001
+3.81412874828e+002,-1.11075331563e+002
+3.88282025801e+002,-1.09911875540e+002
+3.95274888473e+002,-1.11748294218e+002
+4.02393690862e+002,-1.06203486255e+002
+4.09640701111e+002,-1.13724941585e+002
+4.17018228212e+002,-1.15832125212e+002
+4.24528622739e+002,-1.10829197340e+002
+4.32174277604e+002,-1.09263359750e+002
+4.39957628810e+002,-1.14523845751e+002
+4.47881156235e+002,-1.11916634753e+002
+4.55947384417e+002,-1.16752936672e+002
+4.64158883361e+002,-1.15637771513e+002
+4.72518269359e+002,-1.20738598902e+002
+4.81028205818e+002,-1.13933192245e+002
+4.89691404115e+002,-1.10038170375e+002
+4.98510624459e+002,-1.19086269414e+002
+5.07488676766e+002,-1.12983288383e+002
+5.16628421561e+002,-1.13693537300e+002
+5.25932770886e+002,-1.10650548657e+002
+5.35404689227e+002,-1.00424035164e+002
+5.45047194461e+002,-8.47932861762e+001
+5.54863358815e+002,-9.14977991275e+001
+5.64856309846e+002,-1.18756489180e+002
+5.75029231439e+002,-1.16690994288e+002
+5.85385364818e+002,-1.12859946628e+002
+5.95928009583e+002,-1.17027520030e+002
+6.06660524757e+002,-1.15696924451e+002
+6.17586329859e+002,-1.28588076356e+002
+6.28708905992e+002,-1.14174805715e+002
+6.40031796953e+002,-1.13052335018e+002
+6.51558610364e+002,-1.15579176653e+002
+6.63293018816e+002,-1.21041550521e+002
+6.75238761044e+002,-1.12250242892e+002
+6.87399643118e+002,-1.13803548965e+002
+6.99779539652e+002,-1.16064493558e+002
+7.12382395042e+002,-1.16116769920e+002
+7.25212224722e+002,-9.85046786033e+001
+7.38273116442e+002,-1.04098090518e+002
+7.51569231572e+002,-1.22536246945e+002
+7.65104806427e+002,-1.15991552333e+002
+7.78884153618e+002,-1.19973961213e+002
+7.92911663423e+002,-1.17457699246e+002
+8.07191805189e+002,-1.17381169288e+002
+8.21729128755e+002,-1.17878679549e+002
+8.36528265901e+002,-1.14990926136e+002
+8.51593931825e+002,-1.25303049328e+002
+8.66930926644e+002,-1.24204714040e+002
+8.82544136923e+002,-1.20499360909e+002
+8.98438537235e+002,-1.18343762080e+002
+9.14619191741e+002,-1.01436908922e+002
+9.31091255809e+002,-1.18813669749e+002
+9.47859977652e+002,-1.16492980996e+002
+9.64930700003e+002,-1.28720665088e+002
+9.82308861817e+002,-1.22284078756e+002
+1.00000000000e+003,-1.17869754665e+002
+1.01800975118e+003,-1.23332394957e+002
+1.03634385350e+003,-1.25082393246e+002
+1.05500814844e+003,-1.17668629009e+002
+1.07400858268e+003,-1.18162395113e+002
+1.09335121002e+003,-1.04410698886e+002
+1.11304219327e+003,-1.19491256486e+002
+1.13308780622e+003,-1.21286677059e+002
+1.15349443568e+003,-1.21437101389e+002
+1.17426858345e+003,-1.15023226036e+002
+1.19541686846e+003,-1.19568996296e+002
+1.21694602882e+003,-1.19734826839e+002
+1.23886292399e+003,-1.27545193993e+002
+1.26117453700e+003,-1.24160122255e+002
+1.28388797661e+003,-1.03684458751e+002
+1.30701047961e+003,-1.25641910254e+002
+1.33054941314e+003,-1.29346089702e+002
+1.35451227700e+003,-1.21121920070e+002
+1.37890670608e+003,-1.22894964008e+002
+1.40374047276e+003,-1.20816216822e+002
+1.42902148939e+003,-1.30684441525e+002
+1.45475781085e+003,-1.09180359720e+002
+1.48095763705e+003,-1.23230687808e+002
+1.50762931560e+003,-1.22394300269e+002
+1.53478134445e+003,-1.23336218236e+002
+1.56242237458e+003,-1.23963937088e+002
+1.59056121278e+003,-1.22196839111e+002
+1.61920682446e+003,-1.30065688804e+002
+1.64836833648e+003,-1.24157382808e+002
+1.67805504007e+003,-1.25633282547e+002
+1.70827639381e+003,-1.27607861427e+002
+1.73904202661e+003,-1.24044008720e+002
+1.77036174080e+003,-1.23458613851e+002
+1.80224551525e+003,-1.17804657260e+002
+1.83470350855e+003,-1.17999187377e+002
+1.86774606222e+003,-1.21432616114e+002
+1.90138370407e+003,-1.25164436141e+002
+1.93562715148e+003,-1.25464055190e+002
+1.97048731486e+003,-1.20757465024e+002
+2.00597530110e+003,-1.17331016720e+002
+2.04210241715e+003,-1.19584424413e+002
+2.07888017356e+003,-1.24227900411e+002
+2.11632028822e+003,-1.25908927004e+002
+2.15443469003e+003,-1.26808908148e+002
+2.19323552273e+003,-1.20346962018e+002
+2.23273514878e+003,-1.24651708462e+002
+2.27294615326e+003,-1.30523805154e+002
+2.31388134792e+003,-1.29710625375e+002
+2.35555377526e+003,-1.29179353077e+002
+2.39797671264e+003,-1.31876387427e+002
+2.44116367658e+003,-1.30155230939e+002
+2.48512842698e+003,-1.28341895464e+002
+2.52988497160e+003,-1.23008615319e+002
+2.57544757045e+003,-1.23026157577e+002
+2.62183074038e+003,-1.28821796058e+002
+2.66904925965e+003,-1.29158271883e+002
+2.71711817270e+003,-1.23300950237e+002
+2.76605279492e+003,-1.20640220323e+002
+2.81586871751e+003,-1.28080335628e+002
+2.86658181246e+003,-1.39687902016e+002
+2.91820823764e+003,-1.29273878868e+002
+2.97076444190e+003,-1.26441510654e+002
+3.02426717031e+003,-1.28590463500e+002
+3.07873346955e+003,-1.27648210743e+002
+3.13418069329e+003,-1.28352791977e+002
+3.19062650773e+003,-1.30265980359e+002
+3.24808889724e+003,-1.32348718615e+002
+3.30658617009e+003,-1.27232480263e+002
+3.36613696427e+003,-1.30876588967e+002
+3.42676025343e+003,-1.34782861262e+002
+3.48847535295e+003,-1.30868236715e+002
+3.55130192606e+003,-1.33949003671e+002
+3.61525999011e+003,-1.32349858511e+002
+3.68036992298e+003,-1.28692392354e+002
+3.74665246955e+003,-1.32314670019e+002
+3.81412874828e+003,-1.31635067840e+002
+3.88282025801e+003,-1.33663454250e+002
+3.95274888473e+003,-1.37425845798e+002
+4.02393690862e+003,-1.34036743009e+002
+4.09640701111e+003,-1.30924436517e+002
+4.17018228212e+003,-1.30596019411e+002
+4.24528622739e+003,-1.31031889618e+002
+4.32174277604e+003,-1.30482227987e+002
+4.39957628810e+003,-1.32982536690e+002
+4.47881156235e+003,-1.31814326176e+002
+4.55947384417e+003,-1.33430392824e+002
+4.64158883361e+003,-1.32383997201e+002
+4.72518269359e+003,-1.31188703964e+002
+4.81028205818e+003,-1.29725749960e+002
+4.89691404115e+003,-1.30854892545e+002
+4.98510624459e+003,-1.30251388420e+002
+5.07488676766e+003,-1.33209505106e+002
+5.16628421561e+003,-1.32396684862e+002
+5.25932770886e+003,-1.35968894282e+002
+5.35404689227e+003,-1.34984799613e+002
+5.45047194461e+003,-1.30012160430e+002
+5.54863358815e+003,-1.32697280360e+002
+5.64856309846e+003,-1.35455691957e+002
+5.75029231439e+003,-1.35418483774e+002
+5.85385364818e+003,-1.39168865040e+002
+5.95928009583e+003,-1.33640860115e+002
+6.06660524757e+003,-1.30891638880e+002
+6.17586329859e+003,-1.35950544819e+002
+6.28708905992e+003,-1.33466148628e+002
+6.40031796953e+003,-1.34919506987e+002
+6.51558610364e+003,-1.34460136271e+002
+6.63293018816e+003,-1.34383680058e+002
+6.75238761044e+003,-1.34507750320e+002
+6.87399643118e+003,-1.34023696665e+002
+6.99779539652e+003,-1.33613092849e+002
+7.12382395042e+003,-1.37565164620e+002
+7.25212224722e+003,-1.41278094369e+002
+7.38273116442e+003,-1.44014339870e+002
+7.51569231572e+003,-1.38892314807e+002
+7.65104806427e+003,-1.34402474957e+002
+7.78884153618e+003,-1.36818793157e+002
+7.92911663423e+003,-1.36614027869e+002
+8.07191805189e+003,-1.35515898014e+002
+8.21729128755e+003,-1.36604862829e+002
+8.36528265901e+003,-1.39755500022e+002
+8.51593931825e+003,-1.34898801030e+002
+8.66930926644e+003,-1.38213273349e+002
+8.82544136923e+003,-1.34125579856e+002
+8.98438537235e+003,-1.38074724617e+002
+9.14619191741e+003,-1.34487284464e+002
+9.31091255809e+003,-1.38321623678e+002
+9.47859977652e+003,-1.39770890224e+002
+9.64930700003e+003,-1.36142338099e+002
+9.82308861817e+003,-1.40245464094e+002
+1.00000000000e+004,-1.36874130348e+002
+1.01800975118e+004,-1.38288175019e+002
+1.03634385350e+004,-1.36926100462e+002
+1.05500814844e+004,-1.41134781074e+002
+1.07400858268e+004,-1.35650559244e+002
+1.09335121002e+004,-1.35590995696e+002
+1.11304219327e+004,-1.41388362141e+002
+1.13308780622e+004,-1.40562001915e+002
+1.15349443568e+004,-1.35932547971e+002
+1.17426858345e+004,-1.38012778738e+002
+1.19541686846e+004,-1.36293315349e+002
+1.21694602882e+004,-1.37028280825e+002
+1.23886292399e+004,-1.37837076037e+002
+1.26117453700e+004,-1.38418655080e+002
+1.28388797661e+004,-1.37530238712e+002
+1.30701047961e+004,-1.37043509170e+002
