Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.12652416581e+002
+1.01800975118e+003,-1.12740475981e+002
+1.03634385350e+003,-1.20020855884e+002
+1.05500814844e+003,-1.20107747873e+002
+1.07400858268e+003,-1.19800452398e+002
+1.09335121002e+003,-1.20385250124e+002
+1.11304219327e+003,-1.20471211774e+002
+1.13308780622e+003,-1.09565205712e+002
+1.15349443568e+003,-1.03985370436e+002
+1.17426858345e+003,-1.04037842543e+002
+1.19541686846e+003,-1.04066340944e+002
+1.21694602882e+003,-1.08247121765e+002
+1.23886292399e+003,-1.08297133796e+002
+1.26117453700e+003,-1.18549312463e+002
+1.28388797661e+003,-1.21545198045e+002
+1.30701047961e+003,-1.22358718463e+002
+1.33054941314e+003,-1.21867318003e+002
+1.35451227700e+003,-1.21888386632e+002
+1.37890670608e+003,-1.15477602756e+002
+1.40374047276e+003,-1.10574793440e+002
+1.42902148939e+003,-1.11053091592e+002
+1.45475781085e+003,-1.15346840833e+002
+1.48095763705e+003,-1.23547466153e+002
+1.50762931560e+003,-1.24039714270e+002
+1.53478134445e+003,-1.24070756231e+002
+1.56242237458e+003,-1.24126012857e+002
+1.59056121278e+003,-1.24691762773e+002
+1.61920682446e+003,-1.15460425178e+002
+1.64836833648e+003,-1.10564626591e+002
+1.67805504007e+003,-1.10752519080e+002
+1.70827639381e+003,-1.16272849789e+002
+1.73904202661e+003,-1.24461557406e+002
+1.77036174080e+003,-1.23732638503e+002
+1.80224551525e+003,-1.25040642999e+002
+1.83470350855e+003,-1.14306770791e+002
+1.86774606222e+003,-1.11032125428e+002
+1.90138370407e+003,-1.11591750041e+002
+1.93562715148e+003,-1.17036509721e+002
+1.97048731486e+003,-1.25460809492e+002
+2.00597530110e+003,-1.24536601786e+002
+2.04210241715e+003,-1.25172659377e+002
+2.07888017356e+003,-1.17304720408e+002
+2.11632028822e+003,-1.13866021536e+002
+2.15443469003e+003,-1.14258378961e+002
+2.19323552273e+003,-1.22270555939e+002
+2.23273514878e+003,-1.27522278333e+002
+2.27294615326e+003,-1.26389054390e+002
+2.31388134792e+003,-1.25177409356e+002
+2.35555377526e+003,-1.19267858794e+002
+2.39797671264e+003,-1.22937412741e+002
+2.44116367658e+003,-1.27788183712e+002
+2.48512842698e+003,-1.28363879103e+002
+2.52988497160e+003,-1.27511198041e+002
+2.57544757045e+003,-1.21888179552e+002
+2.62183074038e+003,-1.22265382126e+002
+2.66904925965e+003,-1.26867221392e+002
+2.71711817270e+003,-1.27379633439e+002
+2.76605279492e+003,-1.28331746256e+002
+2.81586871751e+003,-1.18601442367e+002
+2.86658181246e+003,-1.21546165033e+002
+2.91820823764e+003,-1.28596806144e+002
+2.97076444190e+003,-1.29454233206e+002
+3.02426717031e+003,-1.24672753633e+002
+3.07873346955e+003,-1.21687681349e+002
+3.13418069329e+003,-1.28738419683e+002
+3.19062650773e+003,-1.29653234405e+002
+3.24808889724e+003,-1.28364368927e+002
+3.30658617009e+003,-1.23573301691e+002
+3.36613696427e+003,-1.27312164329e+002
+3.42676025343e+003,-1.29329896376e+002
+3.48847535295e+003,-1.28076088862e+002
+3.55130192606e+003,-1.27954866538e+002
+3.61525999011e+003,-1.31226338037e+002
+3.68036992298e+003,-1.29972304970e+002
+3.74665246955e+003,-1.26342447434e+002
+3.81412874828e+003,-1.25891304857e+002
+3.88282025801e+003,-1.30492895720e+002
+3.95274888473e+003,-1.30832191133e+002
+4.02393690862e+003,-1.25767084721e+002
+4.09640701111e+003,-1.31190143686e+002
+4.17018228212e+003,-1.30309412026e+002
+4.24528622739e+003,-1.28310117878e+002
+4.32174277604e+003,-1.32775802393e+002
+4.39957628810e+003,-1.31695387362e+002
+4.47881156235e+003,-1.29795787144e+002
+4.55947384417e+003,-1.31580909945e+002
+4.64158883361e+003,-1.30486441661e+002
+4.72518269359e+003,-1.25113872058e+002
+4.81028205818e+003,-1.30368610652e+002
+4.89691404115e+003,-1.31272009175e+002
+4.98510624459e+003,-1.29768551235e+002
+5.07488676766e+003,-1.33057842892e+002
+5.16628421561e+003,-1.31436267690e+002
+5.25932770886e+003,-1.32886224587e+002
+5.35404689227e+003,-1.32434406836e+002
+5.45047194461e+003,-1.31730806655e+002
+5.54863358815e+003,-1.33060715812e+002
+5.64856309846e+003,-1.31674946736e+002
+5.75029231439e+003,-1.33813180179e+002
+5.85385364818e+003,-1.31829274727e+002
+5.95928009583e+003,-1.32679765470e+002
+6.06660524757e+003,-1.33160020680e+002
+6.17586329859e+003,-1.31573385695e+002
+6.28708905992e+003,-1.33377715625e+002
+6.40031796953e+003,-1.31401044467e+002
+6.51558610364e+003,-1.33327623426e+002
+6.63293018816e+003,-1.31510621212e+002
+6.75238761044e+003,-1.33444258691e+002
+6.87399643118e+003,-1.32263149210e+002
+6.99779539652e+003,-1.34216253343e+002
+7.12382395042e+003,-1.33312492721e+002
+7.25212224722e+003,-1.33535071349e+002
+7.38273116442e+003,-1.32617891288e+002
+7.51569231572e+003,-1.32964443470e+002
+7.65104806427e+003,-1.34396401226e+002
+7.78884153618e+003,-1.34081977415e+002
+7.92911663423e+003,-1.34764511080e+002
+8.07191805189e+003,-1.33427276248e+002
+8.21729128755e+003,-1.34324179109e+002
+8.36528265901e+003,-1.35336340588e+002
+8.51593931825e+003,-1.34340454947e+002
+8.66930926644e+003,-1.35086826698e+002
+8.82544136923e+003,-1.34869780896e+002
+8.98438537235e+003,-1.34927828948e+002
+9.14619191741e+003,-1.35028477008e+002
+9.31091255809e+003,-1.35801739925e+002
+9.47859977652e+003,-1.35478695813e+002
+9.64930700003e+003,-1.34644979648e+002
+9.82308861817e+003,-1.36238024920e+002
+1.00000000000e+004,-1.36326104120e+002
+1.01800975118e+004,-1.36481092383e+002
+1.03634385350e+004,-1.36593469392e+002
+1.05500814844e+004,-1.35851879455e+002
+1.07400858268e+004,-1.35664634118e+002
+1.09335121002e+004,-1.36907351464e+002
+1.11304219327e+004,-1.34816615604e+002
+1.13308780622e+004,-1.35298546022e+002
+1.15349443568e+004,-1.36823329090e+002
+1.17426858345e+004,-1.35818040674e+002
+1.19541686846e+004,-1.36547016896e+002
+1.21694602882e+004,-1.36911046871e+002
+1.23886292399e+004,-1.37024917581e+002
+1.26117453700e+004,-1.37317129063e+002
+1.28388797661e+004,-1.37891551626e+002
+1.30701047961e+004,-1.37794072038e+002
+1.33054941314e+004,-1.37710762297e+002
+1.35451227700e+004,-1.38244751563e+002
+1.37890670608e+004,-1.38155589927e+002
+1.40374047276e+004,-1.37975727917e+002
+1.42902148939e+004,-1.37912019293e+002
+1.45475781085e+004,-1.38012993683e+002
+1.48095763705e+004,-1.38247676854e+002
+1.50762931560e+004,-1.38187497836e+002
+1.53478134445e+004,-1.38151559677e+002
+1.56242237458e+004,-1.38619025896e+002
+1.59056121278e+004,-1.39021009033e+002
