Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+002,-9.89099031233e+001
+1.01800975118e+002,-9.91310615615e+001
+1.03634385350e+002,-9.72157709091e+001
+1.05500814844e+002,-9.74426267717e+001
+1.07400858268e+002,-1.03034310361e+002
+1.09335121002e+002,-1.03265469969e+002
+1.11304219327e+002,-1.03143473958e+002
+1.13308780622e+002,-1.03446451513e+002
+1.15349443568e+002,-1.01916231691e+002
+1.17426858345e+002,-1.02272675991e+002
+1.19541686846e+002,-1.02322575883e+002
+1.21694602882e+002,-1.02675638551e+002
+1.23886292399e+002,-9.37463381718e+001
+1.26117453700e+002,-9.29598040604e+001
+1.28388797661e+002,-9.33282384717e+001
+1.30701047961e+002,-9.62135212755e+001
+1.33054941314e+002,-1.00162649850e+002
+1.35451227700e+002,-1.00526577768e+002
+1.37890670608e+002,-1.08427434047e+002
+1.40374047276e+002,-9.51650483532e+001
+1.42902148939e+002,-9.55198446528e+001
+1.45475781085e+002,-9.06917606268e+001
+1.48095763705e+002,-9.43883615757e+001
+1.50762931560e+002,-9.47362750309e+001
+1.53478134445e+002,-9.83525198774e+001
+1.56242237458e+002,-1.05331716137e+002
+1.59056121278e+002,-1.09725872775e+002
+1.61920682446e+002,-1.10080152046e+002
+1.64836833648e+002,-1.07096764325e+002
+1.67805504007e+002,-1.02048510979e+002
+1.70827639381e+002,-1.12814741990e+002
+1.73904202661e+002,-8.01663190953e+001
+1.77036174080e+002,-8.05122258220e+001
+1.80224551525e+002,-6.52857553926e+001
+1.83470350855e+002,-6.03842404276e+001
+1.86774606222e+002,-6.21342907054e+001
+1.90138370407e+002,-7.07199482956e+001
+1.93562715148e+002,-1.08056232842e+002
+1.97048731486e+002,-1.05524981670e+002
+2.00597530110e+002,-1.05507361340e+002
+2.04210241715e+002,-1.06177463836e+002
+2.07888017356e+002,-1.10074509826e+002
+2.11632028822e+002,-1.03224613881e+002
+2.15443469003e+002,-9.52563047617e+001
+2.19323552273e+002,-9.30423678696e+001
+2.23273514878e+002,-9.69181333326e+001
+2.27294615326e+002,-1.04920878602e+002
