Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+002,-9.37402502767e+001
+1.01800975118e+002,-9.39614087149e+001
+1.03634385350e+002,-9.31924787713e+001
+1.05500814844e+002,-9.34193346338e+001
+1.07400858268e+002,-9.43244567783e+001
+1.09335121002e+002,-9.45556163862e+001
+1.11304219327e+002,-9.46293749531e+001
+1.13308780622e+002,-9.49323525083e+001
+1.15349443568e+002,-9.80579062411e+001
+1.17426858345e+002,-9.84143505411e+001
+1.19541686846e+002,-1.01288860778e+002
+1.21694602882e+002,-1.01641923446e+002
+1.23886292399e+002,-9.89070063322e+001
+1.26117453700e+002,-9.84012955059e+001
+1.28388797661e+002,-9.87697299171e+001
+1.30701047961e+002,-1.10266383230e+002
+1.33054941314e+002,-1.08057429108e+002
+1.35451227700e+002,-1.08421357026e+002
+1.37890670608e+002,-1.09853482397e+002
+1.40374047276e+002,-1.04231019746e+002
+1.42902148939e+002,-1.04585816046e+002
+1.45475781085e+002,-1.01278532540e+002
+1.48095763705e+002,-9.85252334549e+001
+1.50762931560e+002,-9.88731469101e+001
+1.53478134445e+002,-9.73494520120e+001
+1.56242237458e+002,-9.74984380365e+001
+1.59056121278e+002,-1.03515650147e+002
+1.61920682446e+002,-1.03869929419e+002
+1.64836833648e+002,-1.00196167290e+002
+1.67805504007e+002,-1.04815744571e+002
+1.70827639381e+002,-1.08065200655e+002
+1.73904202661e+002,-1.05997264744e+002
+1.77036174080e+002,-1.06343171471e+002
+1.80224551525e+002,-9.82419946913e+001
+1.83470350855e+002,-9.77754382637e+001
+1.86774606222e+002,-1.02749058183e+002
+1.90138370407e+002,-1.02339116553e+002
+1.93562715148e+002,-1.01811725556e+002
+1.97048731486e+002,-1.03660419295e+002
+2.00597530110e+002,-1.00196221904e+002
+2.04210241715e+002,-9.75778022086e+001
+2.07888017356e+002,-1.04538041101e+002
+2.11632028822e+002,-9.22909946721e+001
+2.15443469003e+002,-8.65378101850e+001
+2.19323552273e+002,-7.23489295702e+001
+2.23273514878e+002,-6.39568697440e+001
+2.27294615326e+002,-6.37549494233e+001
+2.31388134792e+002,-7.38550348450e+001
+2.35555377526e+002,-7.78996105596e+001
+2.39797671264e+002,-9.39050769580e+001
+2.44116367658e+002,-9.80281177807e+001
+2.48512842698e+002,-1.01847549189e+002
+2.52988497160e+002,-1.08234107060e+002
+2.57544757045e+002,-1.01711746264e+002
+2.62183074038e+002,-1.03187946966e+002
+2.66904925965e+002,-9.98275772676e+001
+2.71711817270e+002,-9.88512883809e+001
+2.76605279492e+002,-1.03288378522e+002
+2.81586871751e+002,-1.08692890197e+002
+2.86658181246e+002,-1.07160914188e+002
+2.91820823764e+002,-1.10744939780e+002
+2.97076444190e+002,-1.10662088300e+002
+3.02426717031e+002,-1.12118201187e+002
+3.07873346955e+002,-1.09021018250e+002
+3.13418069329e+002,-1.21313205610e+002
+3.19062650773e+002,-1.17804517291e+002
+3.24808889724e+002,-1.07464669554e+002
+3.30658617009e+002,-1.07270233455e+002
+3.36613696427e+002,-1.06950969778e+002
+3.42676025343e+002,-1.12545311053e+002
+3.48847535295e+002,-1.13259585140e+002
+3.55130192606e+002,-1.18779638814e+002
+3.61525999011e+002,-1.12341682188e+002
+3.68036992298e+002,-1.11428332736e+002
+3.74665246955e+002,-1.12702281470e+002
+3.81412874828e+002,-1.13161400406e+002
+3.88282025801e+002,-1.12070842400e+002
+3.95274888473e+002,-1.12074701354e+002
+4.02393690862e+002,-1.09989366141e+002
+4.09640701111e+002,-1.08779556752e+002
+4.17018228212e+002,-1.19748980489e+002
+4.24528622739e+002,-1.24345524384e+002
+4.32174277604e+002,-1.16250563905e+002
+4.39957628810e+002,-1.01089687759e+002
+4.47881156235e+002,-8.26446859283e+001
+4.55947384417e+002,-8.53716632456e+001
+4.64158883361e+002,-1.05818412677e+002
+4.72518269359e+002,-1.13081450980e+002
+4.81028205818e+002,-1.11385966511e+002
+4.89691404115e+002,-1.13900899257e+002
+4.98510624459e+002,-1.10629706683e+002
+5.07488676766e+002,-1.13208695366e+002
+5.16628421561e+002,-1.19515809109e+002
+5.25932770886e+002,-1.10849220848e+002
+5.35404689227e+002,-1.12547057815e+002
+5.45047194461e+002,-1.14847916261e+002
+5.54863358815e+002,-1.14060151406e+002
+5.64856309846e+002,-1.20392506106e+002
+5.75029231439e+002,-1.14037242935e+002
+5.85385364818e+002,-1.15020936621e+002
+5.95928009583e+002,-1.16271848222e+002
+6.06660524757e+002,-1.14259428537e+002
+6.17586329859e+002,-1.15007239658e+002
+6.28708905992e+002,-1.14943425965e+002
+6.40031796953e+002,-1.14574253667e+002
+6.51558610364e+002,-1.13641394402e+002
+6.63293018816e+002,-1.13894031621e+002
+6.75238761044e+002,-9.32190512754e+001
+6.87399643118e+002,-9.48708943470e+001
+6.99779539652e+002,-1.21140679271e+002
+7.12382395042e+002,-1.14514443119e+002
+7.25212224722e+002,-1.11985966934e+002
+7.38273116442e+002,-1.10515996871e+002
+7.51569231572e+002,-1.15461272525e+002
+7.65104806427e+002,-1.11127666033e+002
+7.78884153618e+002,-1.14880116514e+002
+7.92911663423e+002,-1.20291107181e+002
+8.07191805189e+002,-1.20488207589e+002
+8.21729128755e+002,-1.21614273446e+002
+8.36528265901e+002,-1.16998361702e+002
+8.51593931825e+002,-1.15662796347e+002
+8.66930926644e+002,-1.19981769527e+002
+8.82544136923e+002,-1.17187436124e+002
+8.98438537235e+002,-9.69420867773e+001
+9.14619191741e+002,-1.01422217203e+002
+9.31091255809e+002,-1.16664194218e+002
+9.47859977652e+002,-1.16898518194e+002
+9.64930700003e+002,-1.20821186000e+002
+9.82308861817e+002,-1.17852352303e+002
+1.00000000000e+003,-1.19812725836e+002
+1.01800975118e+003,-1.21414358720e+002
+1.03634385350e+003,-1.23389380730e+002
+1.05500814844e+003,-1.18585627400e+002
+1.07400858268e+003,-1.23994958981e+002
+1.09335121002e+003,-1.24340848557e+002
+1.11304219327e+003,-1.21788167465e+002
+1.13308780622e+003,-1.02073985998e+002
+1.15349443568e+003,-1.28081754860e+002
+1.17426858345e+003,-1.16906539298e+002
+1.19541686846e+003,-1.16132593101e+002
+1.21694602882e+003,-1.20378976081e+002
+1.23886292399e+003,-1.21189248867e+002
+1.26117453700e+003,-1.27309579683e+002
+1.28388797661e+003,-1.22871753396e+002
+1.30701047961e+003,-1.28859474094e+002
+1.33054941314e+003,-1.24371262469e+002
+1.35451227700e+003,-1.16219365311e+002
+1.37890670608e+003,-1.20870392998e+002
+1.40374047276e+003,-1.27792849591e+002
+1.42902148939e+003,-1.24941235214e+002
+1.45475781085e+003,-1.26116226404e+002
+1.48095763705e+003,-1.25455282370e+002
+1.50762931560e+003,-1.23737092987e+002
+1.53478134445e+003,-1.25060973332e+002
+1.56242237458e+003,-1.13510293251e+002
+1.59056121278e+003,-1.13562775781e+002
+1.61920682446e+003,-1.15609535516e+002
+1.64836833648e+003,-1.26482296761e+002
+1.67805504007e+003,-1.25732330371e+002
+1.70827639381e+003,-1.26967111491e+002
+1.73904202661e+003,-1.25696070900e+002
+1.77036174080e+003,-1.21349730613e+002
+1.80224551525e+003,-1.15334877607e+002
+1.83470350855e+003,-1.15247777181e+002
+1.86774606222e+003,-1.22958193802e+002
+1.90138370407e+003,-1.24043321760e+002
+1.93562715148e+003,-1.24890075599e+002
+1.97048731486e+003,-1.24611413657e+002
+2.00597530110e+003,-1.22316693058e+002
+2.04210241715e+003,-1.24795755965e+002
+2.07888017356e+003,-1.23768224121e+002
+2.11632028822e+003,-1.27859799726e+002
+2.15443469003e+003,-1.27995423535e+002
+2.19323552273e+003,-1.26855240527e+002
+2.23273514878e+003,-1.23379867144e+002
+2.27294615326e+003,-1.21595540244e+002
+2.31388134792e+003,-1.25647150582e+002
+2.35555377526e+003,-1.27599589958e+002
+2.39797671264e+003,-1.27582344628e+002
+2.44116367658e+003,-1.27846854080e+002
+2.48512842698e+003,-1.25302072489e+002
+2.52988497160e+003,-1.28666054857e+002
+2.57544757045e+003,-1.28636387974e+002
+2.62183074038e+003,-1.29773644609e+002
+2.66904925965e+003,-1.26602243922e+002
+2.71711817270e+003,-1.23644033716e+002
+2.76605279492e+003,-1.26897119879e+002
+2.81586871751e+003,-1.30524467914e+002
+2.86658181246e+003,-1.31140267745e+002
+2.91820823764e+003,-1.25624627823e+002
+2.97076444190e+003,-1.29221238917e+002
+3.02426717031e+003,-1.29230410588e+002
+3.07873346955e+003,-1.32174194990e+002
+3.13418069329e+003,-1.28402614392e+002
+3.19062650773e+003,-1.29227804152e+002
+3.24808889724e+003,-1.32265000929e+002
+3.30658617009e+003,-1.30620198907e+002
+3.36613696427e+003,-1.31643943510e+002
+3.42676025343e+003,-1.34242681178e+002
+3.48847535295e+003,-1.31379247140e+002
+3.55130192606e+003,-1.36182842599e+002
+3.61525999011e+003,-1.32771591668e+002
+3.68036992298e+003,-1.32962747519e+002
+3.74665246955e+003,-1.31873714252e+002
+3.81412874828e+003,-1.33092140370e+002
+3.88282025801e+003,-1.31674455608e+002
+3.95274888473e+003,-1.30864244806e+002
+4.02393690862e+003,-1.34190583465e+002
+4.09640701111e+003,-1.36568782849e+002
+4.17018228212e+003,-1.31972613695e+002
+4.24528622739e+003,-1.34013670426e+002
+4.32174277604e+003,-1.32632826750e+002
+4.39957628810e+003,-1.33014277009e+002
+4.47881156235e+003,-1.29420996223e+002
+4.55947384417e+003,-1.29288320945e+002
+4.64158883361e+003,-1.29938979659e+002
+4.72518269359e+003,-1.29105900857e+002
+4.81028205818e+003,-1.33523017327e+002
+4.89691404115e+003,-1.35754962227e+002
+4.98510624459e+003,-1.32574537085e+002
+5.07488676766e+003,-1.30782881624e+002
+5.16628421561e+003,-1.30994804437e+002
+5.25932770886e+003,-1.34294555331e+002
+5.35404689227e+003,-1.33713667316e+002
+5.45047194461e+003,-1.32967008316e+002
+5.54863358815e+003,-1.35046436833e+002
+5.64856309846e+003,-1.32718486965e+002
+5.75029231439e+003,-1.33681643855e+002
+5.85385364818e+003,-1.34758343217e+002
+5.95928009583e+003,-1.33551674356e+002
+6.06660524757e+003,-1.37846519205e+002
+6.17586329859e+003,-1.35067649743e+002
+6.28708905992e+003,-1.32657177468e+002
+6.40031796953e+003,-1.35478960513e+002
+6.51558610364e+003,-1.33810036087e+002
+6.63293018816e+003,-1.32898967959e+002
+6.75238761044e+003,-1.31048583384e+002
+6.87399643118e+003,-1.34730206588e+002
+6.99779539652e+003,-1.33666299113e+002
+7.12382395042e+003,-1.33877453726e+002
+7.25212224722e+003,-1.34485231125e+002
+7.38273116442e+003,-1.35974590030e+002
+7.51569231572e+003,-1.35823145312e+002
+7.65104806427e+003,-1.34541557058e+002
+7.78884153618e+003,-1.37116323101e+002
+7.92911663423e+003,-1.34849335532e+002
+8.07191805189e+003,-1.36279982260e+002
+8.21729128755e+003,-1.36925163638e+002
+8.36528265901e+003,-1.35744458042e+002
+8.51593931825e+003,-1.34599123326e+002
+8.66930926644e+003,-1.37130684529e+002
+8.82544136923e+003,-1.36757665544e+002
+8.98438537235e+003,-1.37360075146e+002
+9.14619191741e+003,-1.38570576215e+002
+9.31091255809e+003,-1.36107122696e+002
+9.47859977652e+003,-1.33131016028e+002
+9.64930700003e+003,-1.35698170179e+002
+9.82308861817e+003,-1.36612376761e+002
+1.00000000000e+004,-1.35917477057e+002
+1.01800975118e+004,-1.34771840733e+002
+1.03634385350e+004,-1.37996674322e+002
+1.05500814844e+004,-1.38037975709e+002
+1.07400858268e+004,-1.37754539150e+002
+1.09335121002e+004,-1.35009641874e+002
+1.11304219327e+004,-1.40221200067e+002
+1.13308780622e+004,-1.35551978414e+002
+1.15349443568e+004,-1.36247980025e+002
+1.17426858345e+004,-1.37158836599e+002
+1.19541686846e+004,-1.37320056372e+002
+1.21694602882e+004,-1.37694995280e+002
+1.23886292399e+004,-1.38018046909e+002
+1.26117453700e+004,-1.37784691199e+002
+1.28388797661e+004,-1.37493343935e+002
+1.30701047961e+004,-1.39386288132e+002
+1.33054941314e+004,-1.40394112717e+002
+1.35451227700e+004,-1.38194277432e+002
+1.37890670608e+004,-1.37440608795e+002
+1.40374047276e+004,-1.38228148040e+002
+1.42902148939e+004,-1.38254385644e+002
+1.45475781085e+004,-1.40471278009e+002
+1.48095763705e+004,-1.40622558815e+002
+1.50762931560e+004,-1.37875542716e+002
+1.53478134445e+004,-1.38345732921e+002
+1.56242237458e+004,-1.39747342416e+002
+1.59056121278e+004,-1.39169570047e+002
+1.61920682446e+004,-1.39773437228e+002
+1.64836833648e+004,-1.37847110162e+002
+1.67805504007e+004,-1.38662838139e+002
+1.70827639381e+004,-1.41715352338e+002
+1.73904202661e+004,-1.40078111815e+002
+1.77036174080e+004,-1.38737611825e+002
+1.80224551525e+004,-1.38499279062e+002
+1.83470350855e+004,-1.38397055000e+002
+1.86774606222e+004,-1.38435898790e+002
+1.90138370407e+004,-1.38977124579e+002
