Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.15652851113e+002
+1.01800975118e+003,-1.15740910514e+002
+1.03634385350e+003,-1.06162840037e+002
+1.05500814844e+003,-1.06249732026e+002
+1.07400858268e+003,-1.03463201414e+002
+1.09335121002e+003,-1.04716464153e+002
+1.11304219327e+003,-1.04802425803e+002
+1.13308780622e+003,-1.11645692309e+002
+1.15349443568e+003,-1.21880456135e+002
+1.17426858345e+003,-1.21932928242e+002
+1.19541686846e+003,-1.17911746968e+002
+1.21694602882e+003,-1.08149712409e+002
+1.23886292399e+003,-1.08199724440e+002
+1.26117453700e+003,-1.04959015019e+002
+1.28388797661e+003,-1.06848060283e+002
+1.30701047961e+003,-1.12604908111e+002
+1.33054941314e+003,-1.21658839997e+002
+1.35451227700e+003,-1.21679908627e+002
+1.37890670608e+003,-1.21579237830e+002
+1.40374047276e+003,-1.12550380875e+002
+1.42902148939e+003,-1.08718902931e+002
+1.45475781085e+003,-1.09636927165e+002
+1.48095763705e+003,-1.15823413683e+002
+1.50762931560e+003,-1.22162666262e+002
+1.53478134445e+003,-1.22193708223e+002
+1.56242237458e+003,-1.22566073207e+002
+1.59056121278e+003,-1.18066473580e+002
+1.61920682446e+003,-1.14930273791e+002
+1.64836833648e+003,-1.16627719556e+002
+1.67805504007e+003,-1.22842369959e+002
+1.70827639381e+003,-1.24719260478e+002
+1.73904202661e+003,-1.23611860781e+002
+1.77036174080e+003,-1.15305010725e+002
+1.80224551525e+003,-1.12209316721e+002
+1.83470350855e+003,-1.18011318788e+002
+1.86774606222e+003,-1.24732510672e+002
+1.90138370407e+003,-1.23826383922e+002
+1.93562715148e+003,-1.16859624636e+002
+1.97048731486e+003,-1.12990942787e+002
+2.00597530110e+003,-1.13175064852e+002
+2.04210241715e+003,-1.20705232746e+002
+2.07888017356e+003,-1.25608367959e+002
+2.11632028822e+003,-1.20569653977e+002
+2.15443469003e+003,-1.16825745209e+002
+2.19323552273e+003,-1.19499547444e+002
+2.23273514878e+003,-1.27429266395e+002
+2.27294615326e+003,-1.27081174877e+002
+2.31388134792e+003,-1.21825544534e+002
+2.35555377526e+003,-1.19931241076e+002
+2.39797671264e+003,-1.28005207428e+002
+2.44116367658e+003,-1.28158765101e+002
+2.48512842698e+003,-1.19379445169e+002
+2.52988497160e+003,-1.16961121485e+002
+2.57544757045e+003,-1.24645296005e+002
+2.62183074038e+003,-1.28168509312e+002
+2.66904925965e+003,-1.20445707173e+002
+2.71711817270e+003,-1.19068502186e+002
+2.76605279492e+003,-1.26266420026e+002
+2.81586871751e+003,-1.28460164775e+002
+2.86658181246e+003,-1.25503984133e+002
+2.91820823764e+003,-1.27825318756e+002
+2.97076444190e+003,-1.29254992104e+002
+3.02426717031e+003,-1.25346939073e+002
+3.07873346955e+003,-1.24691770867e+002
+3.13418069329e+003,-1.29422440278e+002
+3.19062650773e+003,-1.25004577709e+002
+3.24808889724e+003,-1.23129503786e+002
+3.30658617009e+003,-1.29494760512e+002
+3.36613696427e+003,-1.29639769138e+002
+3.42676025343e+003,-1.25840676626e+002
+3.48847535295e+003,-1.30040090703e+002
+3.55130192606e+003,-1.27154992747e+002
+3.61525999011e+003,-1.26662040083e+002
+3.68036992298e+003,-1.31127591297e+002
+3.74665246955e+003,-1.28115976721e+002
+3.81412874828e+003,-1.28317601502e+002
+3.88282025801e+003,-1.31045343242e+002
+3.95274888473e+003,-1.25280787486e+002
+4.02393690862e+003,-1.29797038561e+002
+4.09640701111e+003,-1.30434144383e+002
+4.17018228212e+003,-1.31697163724e+002
+4.24528622739e+003,-1.32095868721e+002
+4.32174277604e+003,-1.28856511415e+002
+4.39957628810e+003,-1.30642760773e+002
+4.47881156235e+003,-1.29736084035e+002
+4.55947384417e+003,-1.30538821641e+002
+4.64158883361e+003,-1.29102774196e+002
+4.72518269359e+003,-1.31372672652e+002
+4.81028205818e+003,-1.31695292906e+002
+4.89691404115e+003,-1.30681761898e+002
+4.98510624459e+003,-1.32140755623e+002
+5.07488676766e+003,-1.32471690298e+002
+5.16628421561e+003,-1.32219478063e+002
+5.25932770886e+003,-1.30238716128e+002
+5.35404689227e+003,-1.28812908217e+002
+5.45047194461e+003,-1.31191257592e+002
+5.54863358815e+003,-1.31172553729e+002
+5.64856309846e+003,-1.32647489298e+002
+5.75029231439e+003,-1.30452817628e+002
+5.85385364818e+003,-1.32827849805e+002
+5.95928009583e+003,-1.30588495486e+002
+6.06660524757e+003,-1.34163403218e+002
+6.17586329859e+003,-1.33642677945e+002
+6.28708905992e+003,-1.33094871435e+002
+6.40031796953e+003,-1.34044924996e+002
+6.51558610364e+003,-1.33563450300e+002
+6.63293018816e+003,-1.34767372072e+002
+6.75238761044e+003,-1.33475409916e+002
+6.87399643118e+003,-1.33729024185e+002
+6.99779539652e+003,-1.34617384937e+002
+7.12382395042e+003,-1.34634367281e+002
+7.25212224722e+003,-1.33372173008e+002
+7.38273116442e+003,-1.33262612792e+002
+7.51569231572e+003,-1.34063080031e+002
+7.65104806427e+003,-1.34911831871e+002
+7.78884153618e+003,-1.35044287237e+002
+7.92911663423e+003,-1.33919059597e+002
+8.07191805189e+003,-1.33987525486e+002
+8.21729128755e+003,-1.35716640295e+002
+8.36528265901e+003,-1.34166928816e+002
+8.51593931825e+003,-1.34756841463e+002
+8.66930926644e+003,-1.34763808498e+002
+8.82544136923e+003,-1.34836746570e+002
+8.98438537235e+003,-1.35018961534e+002
+9.14619191741e+003,-1.34616805207e+002
+9.31091255809e+003,-1.35668761622e+002
+9.47859977652e+003,-1.36304292293e+002
+9.64930700003e+003,-1.36282596969e+002
+9.82308861817e+003,-1.36190501306e+002
+1.00000000000e+004,-1.36353435699e+002
+1.01800975118e+004,-1.35949990885e+002
+1.03634385350e+004,-1.36334836813e+002
+1.05500814844e+004,-1.36147801632e+002
+1.07400858268e+004,-1.36838112988e+002
+1.09335121002e+004,-1.36274762844e+002
+1.11304219327e+004,-1.36499165003e+002
+1.13308780622e+004,-1.36581598509e+002
+1.15349443568e+004,-1.35944238512e+002
+1.17426858345e+004,-1.36513105857e+002
+1.19541686846e+004,-1.36805087645e+002
+1.21694602882e+004,-1.37102967640e+002
+1.23886292399e+004,-1.37522114432e+002
+1.26117453700e+004,-1.37072854826e+002
+1.28388797661e+004,-1.37223802688e+002
