VT,pmd_lane,PMD_FW_Version,Process,Device,jtol_freq,Result_Name,Result_Value,ppm,spec_min,spec_max
HV_HT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,40,JTOL_Max_40,0.097435855,-200,0.05,
HV_HT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,12,JTOL_Max_12,0.097435855,-200,0.05,
HV_HT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,4,JTOL_Max_4,0.129687123005,-200,0.05,
HV_HT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,1.33,JTOL_Max_1.33,0.3871792750000001,-200,0.15,
HV_HT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,0.04,JTOL_Max_0.04,6.0,-200,5.0,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,40,JTOL_Max_40,0.129687123005,0,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,12,JTOL_Max_12,0.129687123005,0,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,4,JTOL_Max_4,0.129687123005,0,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,1.33,JTOL_Max_1.33,0.4358972025000001,0,0.15,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,0.04,JTOL_Max_0.04,45.544702849929415,0,5.0,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,40,JTOL_Max_40,0.129687123005,200,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,12,JTOL_Max_12,0.11789738455,200,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,4,JTOL_Max_4,0.129687123005,200,0.05,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,1.33,JTOL_Max_1.33,0.34289025,200,0.15,
nomV_70C,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,0.04,JTOL_Max_0.04,9.641000000000002,200,5.0,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,40,JTOL_Max_40,0.129687123005,0,0.05,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,12,JTOL_Max_12,0.129687123005,0,0.05,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,4,JTOL_Max_4,0.129687123005,0,0.05,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,1.33,JTOL_Max_1.33,0.4358972025000001,0,0.15,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,0.04,JTOL_Max_0.04,45.544702849929415,0,5.0,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,40,JTOL_Max_40,0.129687123005,200,0.05,
HV_LT,0_2,3.14.4.9,TT2_Jtol-VTOL-3-7-2025,0x5a900681778f50000003f3f,12,JTOL_Max_12,0.129687123005,200,0.05,
