Date	Open	High	Low	Close	Volume
	KOF	KOF	KOF	KOF	KOF
1993-09-14	4.054384539984176	4.076909070386862	3.941762919054056	4.009335994720459	13098300
1993-09-15	3.9868108543183953	4.009335381274731	3.919237788990965	3.9642863273620605	2997600
1993-09-16	3.96428632736206	3.9868108543183953	3.9417623159473	3.9642863273620605	636000
1993-09-17	3.9642872922852392	3.9642872922852392	3.896714210510254	3.896714210510254	588000
1993-09-20	3.8741886059656756	3.941761660049138	3.8741886059656756	3.9192371368408203	568500
1993-09-21	3.8967130794117106	3.941762131213117	3.851664543151855	3.8516645431518555	1092000
1993-09-22	3.8741901936130594	3.896714210510254	3.8741901936130594	3.896714210510254	798600
1993-09-23	3.896713858248685	4.009335994720459	3.896713858248685	4.009335994720459	669900
1993-09-24	3.986810400692883	4.1670050492160104	3.986810400692883	4.099431991577148	911100
1993-09-27	4.1219587326049805	4.144483269111288	4.076910175134158	4.1219587326049805	726600
1993-09-28	4.121957771239742	4.212055380709693	4.076909224275604	4.189530849456787	994500
1993-09-29	4.212055670791348	4.279628753662109	4.167006605183035	4.279628753662109	560100
1993-09-30	4.324677303728714	4.324677303728714	4.257104220857952	4.279628753662109	1272300
1993-10-01	4.279628753662109	4.279628753662109	4.234579688053795	4.279628753662109	132900
1993-10-04	4.257104656857679	4.414775371551514	4.257104656857679	4.414775371551514	335700
1993-10-05	4.414775371551514	4.437299391120804	4.392250836440462	4.414775371551514	411600
1993-10-06	4.414775334165447	4.594970066902611	4.414775334165447	4.54992151260376	792300
1993-10-07	4.572445019271443	4.797688796592503	4.572445019271443	4.752640247344971	488400
1993-10-08	4.820212240714323	5.000406912563096	4.820212240714323	4.977882385253906	1347000
1993-10-11	4.977883146438701	5.203126907348633	4.842736993001074	5.203126907348633	1231500
1993-10-12	5.180602526079146	5.405846293488388	5.135553978813968	5.383321762084961	1623300
1993-10-13	5.405846124962915	5.721186977071865	5.338273048400879	5.338273048400879	2254200
1993-10-14	5.383321929368578	5.405846461471943	5.045456525526582	5.158078670501709	1325400
1993-10-15	5.203125280089074	5.293222859383671	5.090503692626953	5.090503692626953	448200
1993-10-18	5.13555515859586	5.180603716209962	4.932835876019708	4.955360412597656	511200
1993-10-19	4.9778820296022275	4.9778820296022275	4.865260432185848	4.887784957885742	766200
1993-10-20	4.887784957885742	4.91030896804409	4.865260432185848	4.887784957885742	182100
1993-10-21	4.932834321042483	4.932834321042483	4.86526124815149	4.910309791564941	258600
1993-10-22	4.932834782611806	5.113029488668206	4.932834782611806	5.045456409454346	628500
1993-10-25	5.090505789006145	5.090505789006145	4.977883639622314	5.000408172607422	86100
1993-10-26	5.045457527825861	5.045457527825861	4.932835876019708	4.955360412597656	358800
1993-10-27	4.955358373486298	5.045455451639894	4.932833846177108	4.977882385253906	383700
1993-10-28	4.955358373486298	5.022931439872286	4.955358373486298	4.977882385253906	229200
