Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09883444756269455,0.09926413870478572,0.09883444756269455,0.09883444756269455,469033600
1980-12-15,0.09367822855710983,0.09410791985762396,0.09367822855710983,0.09410791985762396,175884800
1980-12-16,0.08680245280265808,0.08723213840523382,0.08680245280265808,0.08723213840523382,105728000
1980-12-17,0.08895088732242584,0.08938057863833063,0.08895088732242584,0.08895088732242584,86441600
1980-12-18,0.09152977913618088,0.09195946465181216,0.09152977913618088,0.09152977913618088,73449600
1980-12-19,0.09711571782827377,0.09754540907371882,0.09711571782827377,0.09711571782827377,48630400
1980-12-22,0.10184229910373688,0.10227275915299852,0.10184229910373688,0.10184229910373688,37363200
1980-12-23,0.10613998770713806,0.10656967912381267,0.10613998770713808,0.10613998770713808,46950400
1980-12-24,0.11172589659690857,0.11215558784011954,0.11172589659690857,0.11172589659690857,48003200
1980-12-26,0.12203916162252426,0.12246885277853896,0.12203916162252426,0.12203916162252426,55574400
1980-12-29,0.12375791370868683,0.1241876048610099,0.12375791370868683,0.12375791370868683,93161600
1980-12-30,0.12075009196996689,0.12117977162407874,0.12075009196996689,0.12117977162407874,68880000
1980-12-31,0.11731258034706116,0.11774227145552096,0.11731258034706114,0.11774227145552096,35750400
1981-01-02,0.11860163509845734,0.1194610172639355,0.11860163509845734,0.11860163509845734,21660800
1981-01-05,0.11602357029914856,0.11645325012480705,0.11602357029914856,0.11645325012480705,35728000
1981-01-06,0.1108664944767952,0.11129618564391083,0.1108664944767952,0.11129618564391083,45158400
1981-01-07,0.10613998770713806,0.10656967912381267,0.10613998770713808,0.10656967912381267,55686400
1981-01-08,0.10399153083562851,0.10442121068369956,0.10399153083562851,0.10442121068369956,39827200
1981-01-09,0.10957745462656021,0.11000714588063747,0.10957745462656021,0.10957745462656021,21504000
1981-01-12,0.10871809720993042,0.10957746835106967,0.10871809720993042,0.10957746835106967,23699200
1981-01-13,0.1048508882522583,0.10528057951861594,0.1048508882522583,0.10528057951861594,23049600
1981-01-14,0.10528059303760529,0.10571028435913922,0.10528059303760529,0.10528059303760529,14291200
1981-01-15,0.10742900520563126,0.10828837611034522,0.10742900520563127,0.10742900520563127,14067200
1981-01-16,0.10656961798667908,0.10699930915684733,0.10656961798667908,0.10699930915684733,13395200
1981-01-19,0.11301493644714355,0.11344462760517002,0.11301493644714355,0.11301493644714355,41574400
1981-01-20,0.10957745462656021,0.11000714588063747,0.10957745462656021,0.11000714588063747,30083200
1981-01-21,0.11172589659690857,0.11258526760867986,0.11172589659690857,0.11172589659690857,15904000
1981-01-22,0.11301493644714355,0.1138743187631965,0.11301493644714355,0.11301493644714355,35548800
1981-01-23,0.11258526891469955,0.11344465141109059,0.11258526891469955,0.11301496016289507,11222400
1981-01-26,0.1108664944767952,0.11129618564391083,0.1108664944767952,0.11129618564391083,24640000
1981-01-27,0.11000710725784302,0.11086647798962698,0.11000710725784303,0.11086647798962698,23699200
1981-01-28,0.10656961798667908,0.10699930915684733,0.10656961798667908,0.10699930915684733,28156800
1981-01-29,0.10270243138074875,0.1031321225968401,0.10270243138074875,0.1031321225968401,43904000
1981-01-30,0.09711571782827377,0.09797510031916386,0.09711571782827377,0.09797510031916386,46188800
1981-02-02,0.09152977913618088,0.09195946465181216,0.09152977913618088,0.09195946465181216,23766400
1981-02-03,0.09496729075908661,0.09539697629529811,0.09496729075908661,0.09496729075908661,19152000
1981-02-04,0.09840478748083115,0.09883446723379385,0.09840478748083115,0.09840478748083115,27865600
1981-02-05,0.09840478748083115,0.09926415846140679,0.09840478748083115,0.09840478748083115,7929600
1981-02-06,0.09883444756269455,0.09926413870478572,0.09883444756269455,0.09883444756269455,13865600
1981-02-09,0.09367822855710983,0.094537605420812,0.09367822855710983,0.094537605420812,16755200
1981-02-10,0.09367822855710983,0.09410791985762396,0.09367822855710983,0.09367822855710983,18345600
1981-02-11,0.0906703844666481,0.09110006989744711,0.0906703844666481,0.09110006989744711,13843200
1981-02-12,0.08981022238731384,0.0902406823044538,0.08981022238731384,0.0902406823044538,14560000
1981-02-13,0.08766180276870728,0.08852117944672681,0.08766180276870728,0.08852117944672681,11155200
1981-02-17,0.08981022238731384,0.0902406823044538,0.08981022238731384,0.08981022238731384,12275200
1981-02-18,0.09367822855710983,0.094537605420812,0.09367822855710983,0.09367822855710983,19241600
1981-02-19,0.08809147030115128,0.08852116142132627,0.08809147030115128,0.08852116142132627,22310400
1981-02-20,0.08336492627859116,0.08379461752182821,0.08336492627859116,0.08379461752182821,24371200
1981-02-23,0.08465397357940674,0.08508366474673824,0.08465397357940674,0.08465397357940674,14112000
1981-02-24,0.0816461518406868,0.0825055283694332,0.0816461518406868,0.0825055283694332,16979200
1981-02-25,0.08680245280265808,0.08723213840523382,0.08680245280265808,0.08680245280265808,19488000
1981-02-26,0.08809147030115128,0.08852116142132627,0.08809147030115128,0.08809147030115128,10841600
1981-02-27,0.09110009670257568,0.09195947355435953,0.09110009670257568,0.09110009670257568,14761600
1981-03-02,0.09152977913618088,0.09195946465181216,0.09152977913618088,0.09152977913618088,11760000
1981-03-03,0.0902407318353653,0.09067042318698612,0.0902407318353653,0.09067042318698612,16172800
1981-03-04,0.08938056230545044,0.08981024780551072,0.08938056230545044,0.08981024780551072,13708800
1981-03-05,0.08895088732242584,0.08938057863833063,0.08895088732242584,0.08938057863833063,5376000
1981-03-06,0.08809147030115128,0.08895084680417757,0.08809147030115128,0.08895084680417757,11603200
1981-03-09,0.0812164694070816,0.08164615481846425,0.0812164694070816,0.08164615481846425,15321600
1981-03-10,0.0773485004901886,0.07777818588642556,0.0773485004901886,0.07777818588642556,28380800
1981-03-11,0.07434068620204926,0.07520006280623336,0.07434068620204926,0.07520006280623336,29859200
1981-03-12,0.0773485004901886,0.07777818588642556,0.0773485004901886,0.0773485004901886,59248000
1981-03-13,0.07648918032646179,0.07691886603934087,0.07648918032646179,0.07691886603934087,231302400
1981-03-16,0.07949774712324142,0.08035712401667403,0.07949774712324142,0.07949774712324142,37228800
1981-03-17,0.08336492627859116,0.08422430302773994,0.08336492627859116,0.08336492627859116,43747200
1981-03-18,0.08852121233940125,0.08938058933674772,0.08852121233940125,0.08852121233940125,36937600
1981-03-19,0.08766180276870728,0.08809148823905462,0.08766180276870728,0.08809148823905462,37811200
1981-03-20,0.08852121233940125,0.08938058933674772,0.08852121233940125,0.08852121233940125,14604800
1981-03-23,0.09195947647094727,0.09281885334998712,0.09195947647094727,0.09195947647094727,22019200
1981-03-24,0.09152977913618088,0.09195946465181216,0.09152977913618088,0.09195946465181216,28156800
1981-03-25,0.08981022238731384,0.09067037342022763,0.08981022238731384,0.09067037342022763,7056000
1981-03-26,0.08809147030115128,0.08852116142132627,0.08809147030115128,0.08852116142132627,12275200
1981-03-27,0.08508364856243134,0.08551333391070531,0.08508364856243134,0.08551333391070531,12252800
1981-03-30,0.08508364856243134,0.08594302499630252,0.08508364856243134,0.08508364856243134,9900800
1981-03-31,0.08422430604696274,0.08508368282691794,0.08422430604696274,0.08508368282691794,15993600
1981-04-01,0.08336492627859116,0.08379461752182821,0.08336492627859116,0.08379461752182821,34070400
1981-04-02,0.0906703844666481,0.09110006989744711,0.0906703844666481,0.0906703844666481,31404800
1981-04-03,0.09110009670257568,0.09152978799713062,0.09110009670257568,0.09110009670257568,16486400
1981-04-06,0.08938056230545044,0.08981024780551072,0.08938056230545044,0.08981024780551072,22803200
1981-04-07,0.08852121233940125,0.08895089796941098,0.08852121233940125,0.08895089796941098,10684800
1981-04-08,0.09281884133815765,0.09367821810598423,0.09281884133815765,0.09281884133815765,21952000
1981-04-09,0.09453755617141724,0.09496724724808356,0.09453755617141724,0.09453755617141724,12499200
1981-04-10,0.0958266481757164,0.09625633362496941,0.0958266481757164,0.0958266481757164,33465600
1981-04-13,0.0958266481757164,0.09625633362496941,0.0958266481757164,0.0958266481757164,16060800
1981-04-14,0.0958266481757164,0.09625633362496941,0.0958266481757164,0.0958266481757164,6652800
1981-04-15,0.09110009670257568,0.09152978799713062,0.09110009670257568,0.09152978799713062,34048000
1981-04-16,0.0859430730342865,0.08637275862273375,0.0859430730342865,0.08637275862273375,23878400
1981-04-20,0.08852121233940125,0.08895089796941098,0.08852121233940125,0.08852121233940125,35347200
1981-04-21,0.09453755617141724,0.09496724724808356,0.09453755617141724,0.09453755617141724,28537600
1981-04-22,0.09797507524490356,0.09840476638037994,0.09797507524490356,0.09797507524490356,18995200
1981-04-23,0.10055319964885712,0.10098289078664274,0.10055319964885712,0.10055319964885712,58016000
1981-04-24,0.09969387948513031,0.10055325072255143,0.09969387948513031,0.10055325072255143,35056000
1981-04-27,0.09883444756269455,0.09926413870478572,0.09883444756269455,0.09926413870478572,38528000
1981-04-28,0.09711571782827377,0.09754540907371882,0.09711571782827377,0.09754540907371882,32188800
1981-04-29,0.0958266481757164,0.09625633362496941,0.0958266481757164,0.09625633362496941,13641600
1981-04-30,0.09754541516304016,0.09840479770757764,0.09754541516304016,0.09754541516304016,12611200
1981-05-01,0.09754541516304016,0.09840479770757764,0.09754541516304016,0.09754541516304016,16553600
1981-05-04,0.09711571782827377,0.09754540907371882,0.09711571782827377,0.09754540907371882,14448000
1981-05-05,0.09668604284524918,0.0971157226373207,0.09668604284524918,0.0971157226373207,17539200
1981-05-06,0.09410788863897324,0.09453757405962063,0.09410788863897324,0.09453757405962063,18950400
1981-05-07,0.0953969731926918,0.09582666445225416,0.0953969731926918,0.0953969731926918,9363200
